year_month,question_count,avg_views,avg_answers,total_score
2023-01,429,1521.2773892773894,0.9114219114219114,383
2023-02,395,2476.4177215189875,1.0126582278481013,466
2023-03,623,3354.5152487961477,1.0947030497592296,1008
2023-04,740,1759.1202702702703,0.9364864864864865,663
2023-05,631,3289.025356576862,1.0998415213946118,1009
2023-06,641,1687.0624024960998,0.9001560062402496,639
2023-07,685,2092.046715328467,0.9576642335766423,714
2023-08,628,1897.5732484076434,0.9633757961783439,688
2023-09,577,1379.0138648180243,0.8873483535528596,392
2023-10,505,1729.2376237623762,0.9544554455445544,429
2023-11,583,2159.1680960548883,0.9296740994854202,566
2023-12,437,1468.1395881006865,0.9473684210526315,379
